stateabbr,access2_crudeprev,arthritis_crudeprev,binge_crudeprev,bphigh_crudeprev,bpmed_crudeprev,cancer_crudeprev,casthma_crudeprev,cervical_crudeprev,chd_crudeprev,checkup_crudeprev,cholscreen_crudeprev,colon_screen_crudeprev,copd_crudeprev,corem_crudeprev,corew_crudeprev,csmoking_crudeprev,dental_crudeprev,depression_crudeprev,diabetes_crudeprev,ghlth_crudeprev,highchol_crudeprev,kidney_crudeprev,lpa_crudeprev,mammouse_crudeprev,mhlth_crudeprev,obesity_crudeprev,phlth_crudeprev,sleep_crudeprev,stroke_crudeprev,teethlost_crudeprev
MO,15.99,26.13,17.81,30.83,76.63,6.35,9.85,81.09,6.5,74.25,84.01,69.17,7.55,48.07,39.29,19.36,60.8,23.29,10.24,16.41,31.59,2.92,25.65,75.76,16.03,34.51,11.29,33.89,3.25,17.04
MS,20.22,27.62,13.44,41.93,77.85,5.83,10.37,83.66,6.92,78.39,85.51,68.88,7.54,43.47,34.0,20.14,53.77,21.16,13.17,21.03,34.47,3.41,30.37,75.87,15.43,40.07,11.42,35.06,4.18,18.96
MT,11.95,24.65,21.21,28.4,70.75,6.62,10.48,81.51,6.13,69.49,81.53,66.81,6.56,43.99,38.46,17.43,63.18,23.72,8.84,12.8,28.89,2.83,20.06,71.87,13.88,29.56,10.49,29.43,3.0,13.51
NC,18.59,22.52,15.61,32.63,72.59,5.78,9.37,84.65,5.82,78.5,86.28,73.85,6.14,49.78,42.76,17.4,63.77,21.73,10.29,13.99,31.18,2.93,22.12,79.39,14.49,33.07,10.05,33.18,3.17,14.46
ND,9.95,22.45,20.88,30.09,73.76,6.61,9.39,80.99,6.03,69.93,81.41,68.62,5.77,45.0,39.36,17.2,65.29,19.41,8.86,12.0,29.78,2.68,23.71,76.68,12.8,33.22,8.59,29.58,2.8,12.77
NE,15.5,22.0,21.44,30.35,74.23,6.31,8.48,80.93,5.62,70.87,81.67,69.18,5.43,49.47,39.59,16.13,65.27,18.12,9.49,11.8,30.34,2.67,22.4,73.56,12.62,35.1,8.68,28.86,2.75,11.58
NH,11.57,23.87,18.08,28.75,71.92,6.41,11.12,82.57,5.62,71.5,84.68,73.0,6.21,47.91,37.74,15.85,66.65,22.95,8.37,12.4,29.12,2.52,20.39,74.99,15.39,30.17,9.85,32.27,2.6,12.98
NM,14.15,22.13,14.03,29.12,71.18,5.57,10.19,80.75,5.89,66.88,81.52,63.51,5.73,44.22,35.08,16.45,62.23,19.59,11.26,15.52,29.44,3.14,22.11,71.69,14.57,29.4,10.86,32.18,3.03,14.01
NV,18.33,22.87,18.79,30.07,68.78,5.54,10.29,78.87,6.16,67.61,83.04,66.38,6.85,45.55,31.35,18.54,59.41,19.67,10.58,17.71,31.97,2.83,25.31,71.78,16.9,30.84,12.05,35.65,2.91,14.71
NY,14.71,19.22,16.29,28.85,74.74,5.71,9.96,83.49,5.38,77.87,87.56,73.13,5.61,40.66,35.45,14.68,63.36,17.94,9.78,13.53,30.13,2.85,26.01,79.22,14.2,26.41,9.38,34.68,2.86,13.58
OH,12.7,27.24,17.57,33.86,75.81,6.51,10.75,81.66,7.0,76.69,83.97,70.33,8.66,42.21,36.92,22.37,62.13,23.82,11.85,16.82,30.64,3.13,26.59,76.09,16.89,36.93,11.18,36.98,3.54,17.16
OK,18.86,24.44,13.28,36.11,74.09,6.15,11.08,78.48,6.8,75.65,83.16,63.14,8.0,42.03,37.92,20.45,57.61,24.4,11.38,18.18,33.68,3.08,29.34,72.58,17.17,36.73,12.34,33.26,3.43,18.14
OR,11.78,21.59,17.98,28.2,68.06,6.15,10.63,82.67,5.47,71.3,85.51,72.72,6.01,45.7,39.33,15.45,66.25,22.95,8.67,13.39,28.3,2.65,18.17,77.22,15.41,28.72,9.71,28.62,2.79,13.17
PA,12.3,26.64,18.45,32.49,75.63,6.45,10.76,81.42,6.67,77.55,84.91,72.51,7.5,42.04,37.62,19.23,62.24,22.11,11.1,16.22,31.14,3.07,25.87,76.61,16.38,33.05,11.15,36.4,3.34,16.37
RI,11.42,22.63,16.67,31.14,75.26,5.92,12.67,84.38,5.93,81.34,87.75,76.46,6.74,47.34,42.78,16.13,68.43,23.23,9.83,14.09,29.33,2.75,25.35,82.11,15.16,31.21,10.53,35.83,2.83,12.66
SC,17.72,26.9,17.56,36.14,74.03,6.08,10.41,81.46,6.37,78.62,83.76,73.47,7.16,46.75,37.92,18.67,63.86,22.13,11.86,16.72,33.39,3.12,26.29,79.82,15.55,36.19,11.52,35.67,3.56,16.34
SD,12.39,22.2,19.92,29.13,74.17,6.64,9.29,83.03,6.35,74.98,79.11,71.43,5.76,49.14,42.97,17.89,67.23,16.37,8.57,11.68,29.09,2.82,22.65,76.94,11.38,32.48,8.72,27.84,3.0,14.42
TN,17.82,26.8,14.38,37.14,75.29,6.11,10.84,82.39,6.52,75.6,86.58,71.7,8.06,39.26,37.86,21.17,57.02,25.26,12.35,17.43,33.13,3.04,25.7,77.83,17.09,36.01,11.44,35.0,3.48,18.26
TX,30.94,19.74,18.38,31.79,71.26,4.95,9.2,77.69,5.62,70.08,82.67,63.06,5.88,41.46,35.23,17.3,52.99,21.11,11.9,18.67,32.64,2.87,26.97,74.53,15.77,36.52,11.34,34.55,2.86,15.44
UT,13.39,19.85,12.11,24.38,62.37,5.12,10.9,77.32,4.48,67.81,78.6,72.03,4.44,47.86,35.25,9.42,71.04,24.81,7.87,11.13,27.35,2.28,16.58,70.87,15.73,29.9,8.66,31.12,2.21,10.45
VA,12.97,22.1,16.18,31.15,73.14,5.6,9.52,83.56,4.95,75.34,87.07,72.93,5.44,48.31,41.97,15.06,68.31,18.96,9.9,13.39,29.76,2.53,20.99,78.85,13.64,32.2,8.69,34.62,2.66,10.67
VT,9.61,22.88,18.28,26.78,71.73,6.48,10.52,81.2,5.82,69.58,81.43,73.56,6.28,46.47,35.45,14.86,67.34,24.85,7.36,11.41,27.31,2.64,18.19,72.64,15.37,26.31,9.21,28.47,2.76,15.14
WA,11.44,22.12,17.35,28.48,66.5,6.05,10.43,79.69,5.07,68.42,82.32,71.75,5.27,49.1,41.21,13.79,67.2,25.48,8.04,12.57,30.31,2.54,17.75,73.67,14.94,28.86,9.62,30.32,2.55,10.59
WI,11.33,22.17,24.6,29.3,71.97,6.29,9.89,82.37,5.49,73.68,80.61,60.55,5.66,39.23,34.81,17.13,68.81,20.07,8.73,12.35,31.67,2.71,20.56,77.34,13.89,33.64,9.53,30.62,2.78,12.21
WV,11.22,35.13,11.87,42.01,78.38,7.16,11.72,81.9,8.66,81.65,86.29,69.84,11.34,49.11,38.52,23.07,56.72,27.84,13.86,21.7,36.71,3.52,30.33,77.76,18.49,38.89,14.85,39.53,3.87,20.26
WY,16.24,20.32,17.63,27.91,69.65,6.13,9.83,79.73,5.5,66.54,82.23,59.84,6.26,39.95,30.99,18.75,65.59,18.26,7.86,12.05,27.92,2.53,23.67,67.41,13.5,31.54,9.15,31.35,2.64,15.27
